rank,cell_id,center_lat,center_lon,response_class,confidence,human_review_priority,first_visible_date,last_absent_date,observed_assets,temporal_change,evidence,image_quality,alignment_quality,uncertainty_reason,scene_ids,human_status,human_finding,human_notes
31,aoi12_r007_c015,10.60418555,-67.02554914,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large organized material staging near hillside in upper right | temporary tents or structures in lower right area | organized gathering compatible with shelter or collection point in lower right,visible changes in material staging and temporary structures between pre-event and post-event images,"In the post-event image from June 26, large piles of materials are visible on the hillside and temporary shelters appear in the lower-right neighborhood, suggesting response activity. These features are not present in the pre-event mosaic. The July 5 image is obscured by clouds, preventing assessment of persistence. Alignment between images is sufficient for comparison.",good,good,"The cloud cover in the July 5 image prevents confirmation of persistence. Sensor differences (Legion vs LG05) may affect visibility and interpretation. Some observed features could be consistent with ongoing construction or informal settlement growth, though their timing suggests a response context.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
32,aoi12_r007_c016,10.60418555,-67.02105756,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large organized material staging with stacked containers and shipping units near road in lower-right | temporary structures or tents visible near container area | organized vehicle clusters, including what appears to be a fuel truck or large tanker, adjacent to the staging area | visible presence of personnel or small groups near the staging site",increased activity and organization at lower-right site post-event compared to pre-event image,"The June 26 image shows a significant increase in organized logistics activity—stacked containers, temporary shelters, and clustered vehicles—that is not present in the pre-event mosaic from early 2026. The July 5 image confirms continued presence but does not establish first arrival. No response assets are visible in the pre-event image, and the change is consistent across sensors and dates.",good,good,Cloud cover in the GeoEye-1 image (July 5) prevents full confirmation of persistence; slight differences in sensor resolution and view angle between images may affect asset detection.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
33,aoi12_r007_c026,10.60418555,-66.9761418,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small temporary structure near runway edge | additional vehicles near aircraft parking area | organized material staging on tarmac,changes observed between pre-event and post-event images,Post-event image shows new small temporary structures and additional vehicles in the aircraft parking area not visible in the pre-event mosaic. These assets are consistent with emergency response activities. The July 5 image is unusable due to cloud cover.,good,good,"The June 27 image has lower resolution and may not clearly show all assets; the July 5 image is obscured by clouds, making it impossible to confirm persistence.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
34,aoi12_r007_c038,10.60418555,-66.92224288,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large truck or bus on coastal road | temporary structures or tents near buildings | organized material staging area,changes observed between pre-event and post-event images,"In the June 26 image, a large vehicle is visible on the coastal road near the roundabout, consistent with response logistics. There are also indications of temporary structures and organized material staging in the urban area. The June 29 image shows similar features but with lower visibility due to cloud cover; the July 5 image is too degraded for reliable assessment. The pre-event image shows no such assets. While some elements may be ambiguous, their presence post-event suggests possible emergency response activity.",good,good,Cloud cover in the June 29 image prevents definitive confirmation; the July 5 image is too low quality for reliable interpretation.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
35,aoi12_r008_c014,10.60860038,-67.03004071,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,,"large-scale rubble and collapsed structures in central and eastern portions of the grid cell | visible road clearing or debris removal along main roads, particularly on the east side | temporary tent-like structures near the coastline in the southeast quadrant | organized material staging areas adjacent to damaged zones",significant structural damage and debris presence post-event compared to pre-event image,"The pre-event image (2025-11-03/2026-03-21/2026-04-07) shows intact buildings and no visible damage. The June 26 image reveals widespread destruction, including collapsed roofs and walls, with scattered debris. Some organized activity is apparent, such as cleared roads and temporary shelters. The June 27 image confirms persistence of damage and some activity. The July 5 image shows persistent rubble and ongoing site use, but the cloud cover limits visibility of new assets. No response vehicles or equipment are clearly visible in any image.",good,good,"Cloud cover in the July 5 image obscures parts of the scene; alignment between sensors varies slightly, affecting precise change detection; limited resolution prevents definitive identification of small response assets.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
36,aoi12_r008_c016,10.60860038,-67.02105756,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large white temporary tent structure near intersection | organized material staging and debris clearing on roadsides | increased vehicle activity at key intersections,presence of temporary shelter and road clearing activity in post-event images not seen in pre-event image,"A large white temporary tent is visible in the June 26 and June 27 images, located near a major intersection and not present in the pre-event mosaic. There is also evidence of organized debris clearing along roadsides and increased vehicle movement consistent with response operations. The July 5 image is obscured by clouds, preventing assessment of persistence. The observed assets are not present in the pre-event reference.",good,good,Cloud cover in the final image (July 5) prevents confirmation of persistence; slight sensor differences between images may affect visibility; no ground-truth confirmation available.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
37,aoi12_r008_c021,10.60860038,-66.99859968,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,temporary structures or tents near the coast | organized material staging areas on the road,changes in land use and presence of temporary structures compared to pre-event,"The image from 2026-06-26 shows visible signs of temporary infrastructure such as tents or shelters near the coastal area and organized material staging along the road, which are not present in the pre-event reference image. These features suggest response activity, though the evidence is not definitive due to potential ambiguity in identifying temporary structures without ground truth. The subsequent image from 2026-06-27 confirms persistence, while the July 5 image shows continued presence but cannot confirm initial arrival.",good,good,Limited resolution and sensor differences make definitive identification of response assets challenging; cloud cover in later images may obscure details.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
38,aoi12_r008_c024,10.60860038,-66.98512495,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,,temporary structures or tents near beach area | organized material staging near coastal road | small vehicles and possible response personnel on beach,"some change in use of beach area post-event, including temporary structures and organized activity not seen in pre-event image","Post-event images (June 26 and June 27) show activity along the beach and near the coastal road—specifically temporary structures and organized material staging—that are not present in the pre-event image (November 3, 2025–April 7, 2026). The July 5 image shows no such features, but this may be due to sensor differences or cloud cover. No heavy machinery or large emergency vehicles are visible. The observed changes are consistent with early-stage response efforts but lack definitive confirmation.",good,good,"Image alignment is good, but the final image (July 5) is blank/low quality; there is a slight discrepancy between sensors and dates that limits certainty. Response assets are subtle and could be misinterpreted as non-response activity.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
39,aoi12_r009_c016,10.61301516,-67.02105756,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large-scale container stacking in port area | temporary structures or shelters near beach | organized material staging on land adjacent to coast,significant change in coastal infrastructure and organization post-event,"Post-event images show large container stacks and temporary structures not visible in the pre-event mosaic, suggesting response-related activity; however, the presence of containers may indicate pre-existing logistics use, so signal is possible but not definitive.",good,good,Different sensors and viewing angles make direct comparison difficult; some assets may be pre-existing; cloud cover in later image limits confidence in persistence.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
40,aoi12_r009_c017,10.61301516,-67.01656598,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,temporary blue-roofed structure near marina entrance | organized staging of white boats and small vessels in marina | displaced or damaged material on hillside adjacent to road,visible change in marina activity and presence of temporary structures after event,"Post-event images show a temporary blue-roofed structure not present in pre-event mosaic, increased density of boats in marina, and visible debris/damage on hillslope; these changes are consistent with early response activity but lack definitive evidence of vehicles or personnel.",good,good,Cloud cover in the July 5 image obscures key areas; sensor differences and potential misalignment limit confidence in detecting subtle changes; no clear evidence of emergency vehicles or large-scale operations.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
41,aoi12_r009_c018,10.61301516,-67.01207441,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large organized material staging near beach | temporary structures or tents near coastal area | organized gathering of vehicles near beach access | visible changes in road usage and vehicle distribution,"changes observed between pre-event and post-event images, including new material staging and temporary structures","In the June 26 image, large organized material staging and temporary structures are visible near the beach, which are not present in the pre-event mosaic. These features suggest response activity. The June 27 image shows similar features, but the July 5 image is obscured by cloud cover, making it impossible to confirm persistence. No definitive evidence of response assets like excavators, ambulances, or military vehicles is visible.",good,good,"The July 5 image is heavily obscured by cloud cover, preventing assessment of persistence. Alignment and sensor differences introduce uncertainty in change detection.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
42,aoi12_r005_c013,10.59535568,-67.03453229,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small vehicles near road in central area | debris and disturbed earth on hillside,increase in debris and possible vehicle presence post-event,"Post-event images show increased disturbance and potential vehicle activity not visible in the pre-event mosaic; however, no clear emergency response assets like large trucks, tents, or equipment are identifiable. Cloud cover in the July 5 image prevents definitive assessment of persistence.",good,good,Cloud cover in the final image obscures visibility; sensor differences and resolution limits make definitive asset identification difficult; observed changes may be due to natural aftermath rather than organized response.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
43,aoi12_r005_c015,10.59535568,-67.02554914,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small orange vehicle on road near central clearing | temporary white structures near right edge | organized material staging area near lower center,some change in ground use and vehicle presence post-event,"In the pre-event image (2025-11-03/2026-03-21/2026-04-07), the site shows natural terrain and existing infrastructure without response assets. In the June 26 image, a small orange vehicle is visible on a road near the central clearing, which appears to be an excavator or loader; temporary white structures are present along the right edge; and there is organized material staging near the lower center. These features are not clearly present in the pre-event image. The June 27 image confirms similar activity with consistent asset placement. The July 5 image is heavily obscured by cloud cover and does not provide usable evidence. The observed changes are consistent with early response activities.",good,good,"The images vary in sensor type and resolution; the June 27 image has slightly lower clarity than the Legion image, and the July 5 image is unusable due to cloud cover.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
44,aoi12_r005_c034,10.59535568,-66.94020918,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large-scale debris or landslides on hillside slopes | temporary structures or shelters in open areas | organized material staging near roads,significant changes in terrain and structure integrity post-event,"Post-event images show altered topography and possible construction activity not present in pre-event mosaic; however, no definitive response vehicles or large organized gatherings are clearly visible.",good,good,Cloud cover in the July 5 image prevents reliable assessment of persistence; slight differences between June 26 and June 29 scenes may be due to sensor variation rather than actual change.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
45,aoi12_r005_c040,10.59535568,-66.91325973,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,,small red structures along road | temporary-looking tents or shelters near road junction | dirt clearing and possible vehicle tracks on forest path,"presence of temporary structures and activity along a previously undeveloped forest road, not visible in pre-event image","Post-event images show new construction-like elements (red structures) and possible temporary shelters along a forest road, consistent with emergency staging. The pre-event mosaic shows no such features. The June 29 image confirms the scene is still active, though cloud cover in the July 5 image prevents definitive assessment of persistence.",good,good,Image 3 (June 29) has partial cloud cover and lower resolution; alignment between images is good but sensor differences limit fine detail comparison. No response assets are clearly visible in the pre-event image.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
46,aoi12_r007_c039,10.60418555,-66.9177513,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small white temporary structures near coastal road | organized material staging area near central buildings | mobile vehicles on main coastal road,minor changes in asset presence and organization post-event,"In the June 26 image, small white temporary structures and organized material staging are visible near the central built-up area, which were not present in the pre-event mosaic (Nov 2025–Apr 2026). These features are consistent with early response activity. The June 29 image shows similar patterns but is less clear due to sensor differences. The July 5 image shows no new or distinct response assets. No large-scale response equipment such as excavators, cranes, or emergency vehicles are clearly visible.",good,good,Limited resolution and sensor differences between images make definitive attribution difficult; some observed features could be pre-existing or non-response-related.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
47,aoi12_r007_c047,10.60418555,-66.88181869,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,,large construction-like structure with roof in central area | dirt clearing and grading around the structure | road access improvements near the site,increased earth-moving activity and site development between June 26 and June 29,"In the June 26 image, a large partially constructed or reinforced structure is visible in the center of the grid cell, surrounded by cleared ground and access roads. By June 29, the same area shows more extensive earthwork and what appears to be ongoing site preparation. The July 5 image is too obscured by cloud cover to assess further changes. No response vehicles or temporary shelters are clearly visible.",good,good,"The images from different sensors (Legion, LG04, GeoEye-1) have varying resolutions and viewing angles, and the July 5 image is heavily clouded, making definitive assessment of response activity difficult.",COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
48,aoi12_r007_c060,10.60418555,-66.8234282,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large construction equipment (excavators, loaders) in open area | organized material staging at site entrance | temporary structures or tents near central clearing | road clearance activity visible along main access road",increase in construction equipment and material staging post-event compared to pre-event image,"Post-event images (June 26, 29) show increased presence of heavy machinery and organized material staging not visible in the pre-event mosaic. Cloud cover in June 26 limits visibility but does not obscure key features. The July 5 image is too late to establish arrival timing. No response assets are visible in the pre-event reference.",good,good,Disagreement between June 29 scenes due to sensor angle and partial cloud coverage; cannot definitively confirm all observed assets across both LG04 images.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
49,aoi12_r008_c019,10.60860038,-67.00758283,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large excavator or loader in lower-left quarry area | dump truck near excavation site | temporary white tent structure on hillside near center-right | organized material staging piles in lower-left zone | newly cleared road segment near central cluster,visible changes in lower-left industrial area and central residential zones between pre-event and post-event images,"In the pre-event image, the lower-left area shows a quarry with no visible response assets. In the June 26 image, heavy machinery (excavator/loader) and dump trucks are present, along with organized material piles and temporary tents. These assets are not visible in the pre-event image. The June 27 image confirms continued activity. The July 5 image is obscured by cloud cover, preventing confirmation of persistence.",good,good,Cloud cover in the final image prevents assessment of continuity; slight sensor differences may affect detection confidence.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
50,aoi12_r008_c025,10.60860038,-66.98063337,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small vehicles on road near beach | temporary structures or tents near parking area | organized material staging near pier | road clearance activity indicated by vehicle movement,increased activity and presence of temporary assets post-event compared to pre-event,"Post-event images (2026-06-26 and 2026-06-27) show increased vehicular traffic, small temporary structures, and organized material staging near the coastal area that are not present in the pre-event mosaic. The changes suggest response activity, though limited in scale.",good,good,Limited resolution and potential cloud cover in some images; alignment between sensors is good but not perfect; no definitive heavy machinery or large-scale response infrastructure visible.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
51,aoi12_r008_c048,10.60860038,-66.87732711,possible_response_signal,0.6,medium,2026-06-29T14:09:55Z,2026-06-26T15:10:00Z,large organized material staging near beach area | temporary structures or tents on sand | increased vehicle activity on coastal road | visible response boats in harbor,increased activity and organization of assets near coastline between June 26 and June 29,"In the June 26 image, the scene appears normal with no clear signs of emergency response. By June 29, there is visible evidence of organized material staging, temporary structures, and increased traffic along the coastal road—consistent with a response effort. The July 5 image is obscured by clouds, preventing assessment of persistence. No pre-event reference is provided for direct comparison, but the post-event images show changes consistent with response activity.",good,good,"The June 29 image shows potential response indicators, but the July 5 image is cloud-covered, preventing confirmation of persistence. Alignment between sensors is good, but differences in resolution and viewing angle introduce uncertainty.",COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
52,aoi12_r009_c019,10.61301516,-67.00758283,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small temporary structures or tents near beach area | organized material staging on sand | increased vehicle presence along coastal road,visible changes in beach and coastal road areas post-event,"Post-event images (June 26 and June 27) show increased activity on the beach and adjacent road, including small temporary structures and organized material staging not visible in pre-event image. These features are consistent with emergency response operations. However, the evidence is not definitive due to resolution and potential confusion with existing use. The July 5 image is obscured by clouds, preventing confirmation.",good,good,Cloud cover in final image prevents confirmation of persistence; alignment and sensor differences limit certainty; observed features could be non-response related.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
53,aoi12_r010_c057,10.61742986,-66.83690293,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large plume of white smoke or dust over the coastal area | visible disruption at the breakwater/sea wall,significant change in atmospheric conditions and water surface disturbance between pre-event and post-event images,"A large plume of white smoke or dust is visible in the June 26 image, extending from the coast into the sea, which is not present in the pre-event mosaic. This feature suggests a significant event such as an explosion or collapse. The subsequent June 29 images show a return to calm conditions with no such plume, indicating a transient event. No vehicles, structures, or organized material staging consistent with emergency response are visible in any image.",good,good,"The observed plume could be due to a non-response-related event (e.g., natural phenomenon, industrial accident). The absence of clear response assets (vehicles, tents, etc.) makes it difficult to confirm response activity. The June 29 images are inconsistent due to cloud cover and sensor differences, making direct comparison uncertain.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
54,aoi12_r008_c053,10.60860038,-66.85486923,uncertain_imagery_or_alignment,0.5,high,,,,no discernible change in response assets or site use,"No response signal visible in usable pixels. Image 1 (2026-06-26) is heavily obscured by clouds, making assessment impossible. Image 2 (2026-06-29) shows a clear view of the area with no visible excavators, dump trucks, temporary shelters, organized material staging, or large gatherings indicative of emergency response. Image 3 (2026-07-05) is almost entirely white/blank, likely due to cloud cover or sensor issue, preventing analysis. No pre-event reference image is provided for comparison.",low,poor,Image 1 and Image 3 are unusable due to cloud cover; Image 2 shows no visible response assets; lack of pre-event imagery prevents definitive assessment of changes.,COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
55,aoi12_r008_c039,10.60860038,-66.9177513,uncertain_imagery_or_alignment,0.1,high,,,,no observable change due to lack of usable imagery,"no response signal visible in usable pixels; images are largely black, uniform dark, or lack sufficient content to identify any features, vehicles, or changes; pre-event mosaic is also non-informative; cannot confirm or deny presence of response assets due to poor image quality and lack of visible ground features","extremely poor to non-existent in most images; large portions are black, uniform dark, or lack usable content",unknown; no discernible features for alignment across images,"images are unusable for analysis due to extreme darkness, lack of content, or sensor artifacts; no ground features or response-compatible assets are visible; alignment and comparison impossible",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
56,aoi12_r008_c042,10.60860038,-66.90427657,uncertain_imagery_or_alignment,0.1,high,,,,no discernible change in response assets,"Image 1 (2026-06-26) is predominantly black with minimal visible surface features, making asset detection impossible. Image 2 (2026-06-29) shows a uniform dark green-gray surface with no identifiable response assets or site-use changes. Image 3 (2026-07-05) is almost entirely white, likely due to overexposure or sensor saturation, rendering the scene unusable for analysis. The severe degradation across all three images prevents reliable comparison or detection of any response activity.",low,poor,"All images exhibit significant quality issues—complete darkness, uniform coloration, or extreme overexposure—that prevent visual interpretation of the ground surface. Alignment between sensors and dates is unreliable, and no response-compatible assets are visible in any usable pixels.",COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
