rank,cell_id,center_lat,center_lon,response_class,confidence,human_review_priority,first_visible_date,last_absent_date,observed_assets,temporal_change,evidence,image_quality,alignment_quality,uncertainty_reason,secondary_response_class,secondary_confidence,secondary_observed_assets,scene_ids,human_status,human_finding,human_notes
27,aoi12_r012_c023,10.60087438,-67.04014676,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,temporary white tents or shelters near the waterfront area | increased vehicle density on roads adjacent to the main complex | organized material staging and debris piles in open areas | presence of large trucks and possibly heavy equipment near the site,"visible increase in temporary structures, vehicles, and activity between pre-event and post-event images","In the June 26 image, temporary white structures appear near the coast and additional vehicles are present compared to the pre-event image. By June 27, these structures are more clearly visible with associated activity. The July 5 image shows persistence but does not establish first arrival. No response assets are visible in the pre-event mosaic.",good,good,Image resolution and sensor differences limit definitive identification; some features could be non-response-related activity; cloud cover in later scenes may affect assessment.,likely_response_signal,0.8,organized material staging areas | large organized gatherings compatible with a shelter or collection point,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
28,aoi12_r012_c027,10.60087438,-67.03116361,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large white trucks and trailers parked near road in central area | organized material pile on ground adjacent to buildings | temporary structure or tent-like object near left edge of image,presence of large vehicles and material staging not visible in pre-event image,"In the post-event images from June 26 and June 27, multiple large white trucks/trailers are visible in a parking area near the center of the grid cell, which is not present in the pre-event mosaic. A pile of materials and a temporary structure also appear in the post-event imagery. The July 5 image shows similar conditions, indicating persistence. However, due to image resolution and potential cloud cover in some scenes, the evidence is not definitive.",good,good,Image quality and alignment differences between sensors (Legion vs LG05 vs GeoEye-1) limit confidence; some features may be artifacts or non-response-related objects.,possible_response_signal,0.6,small groups of vehicles near the open area | possible organized gathering near the open area,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
29,aoi12_r012_c031,10.60087438,-67.02218045,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large temporary blue-roofed structure near highway overpass | organized material staging area adjacent to the blue structure | road clearance activity on highway and access roads | presence of heavy machinery (excavator or loader) near site | increased vehicle traffic on highway compared to pre-event,significant change in use of open space and increased activity post-earthquake,"Post-event images show a large temporary shelter-like structure with blue roofing, organized material staging, and active road clearing, consistent with emergency response. These features are absent in the pre-event mosaic. The change is evident from June 26 onward, though the July 5 image shows persistence but not first arrival.",good,good,Sensor differences and potential cloud cover may affect visibility; no clear evidence of response assets in the July 5 image to confirm continuity beyond initial detection.,likely_response_signal,0.8,large excavator/loader near the center of the scene | organized material staging area adjacent to the excavator,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
30,aoi12_r012_c041,10.60087438,-66.99972257,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,two small aircraft parked on tarmac | a dark vehicle near the aircraft,presence of two aircraft and a vehicle not visible in pre-event image,"Two small aircraft and a dark vehicle are visible in the June 26 and June 27 images but not in the pre-event mosaic. The aircraft are stationary, consistent with emergency response staging or transport. The July 5 image is obscured by haze, preventing assessment of persistence. No other response assets (e.g., heavy machinery, tents, personnel) are visible.",good,good,The images differ in sensor and resolution; the post-event images show the same scene from different angles and with varying clarity. The presence of aircraft could be routine activity rather than response-related. The July 5 image is too degraded to confirm continuity.,possible_response_signal,0.6,two aircraft-like objects on the tarmac,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
31,aoi12_r013_c070,10.60308183,-66.93459471,possible_response_signal,0.65,medium,2026-06-29T14:09:55Z,2025-11-03/2026-03-21/2026-04-07,"large temporary white tents or shelters near port area | organized material staging with piles of debris and supplies | multiple trucks and vehicles in port area, including what appear to be emergency response units | excavator or crane-like equipment near damaged structures",significant increase in temporary structures and organized activity compared to pre-event image,"In the June 29 image, there is visible evidence of organized response activity including temporary shelters, staged materials, and heavy machinery not present in the pre-event mosaic. The June 26 image shows similar features but with lower clarity. The July 5 image is obscured by cloud cover, preventing confirmation. No response assets are visible in the pre-event reference.",good,good,"The June 29 image shows clear signs of response activity, but the sensor differs from the pre-event mosaic (LG04 vs Vantor mosaic), and the June 26 image has lower resolution. The July 5 image is unusable due to cloud cover, so persistence cannot be confirmed. There is potential for misclassification due to sensor differences and alignment uncertainty.",possible_response_signal,0.6,organized material staging area | temporary structures or tents,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
32,aoi12_r013_c073,10.60308183,-66.92785735,possible_response_signal,0.65,medium,2026-06-29T14:09:55Z,2025-11-03/2026-03-21/2026-04-07,temporary white tents or shelters in the parking lot area | small vehicles near the temporary structures,"presence of temporary white tents/shelters and associated vehicles in the parking lot area, not visible in pre-event image","The pre-event image (2025-11-03/2026-03-21/2026-04-07) shows a vacant parking lot with no temporary structures. The June 26 image is too cloudy to confirm absence. The June 29 image clearly shows multiple white temporary tents/shelters and associated vehicles in the parking lot area, consistent with an emergency response setup. The July 5 image confirms the persistence of these assets.",good,good,The June 26 image is heavily clouded and cannot be used for reliable comparison; the change is only confirmed by the June 29 image. There is also some ambiguity regarding the exact nature of the small vehicles.,likely_response_signal,0.8,temporary tents or structures near the coast,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
33,aoi12_r013_c076,10.60308183,-66.92111998,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large pile of debris and rubble near central road intersection | temporary white tents or shelters near lower-left edge | cluster of vehicles including trucks and emergency-style vehicles along main road | organized material staging area with stacked items in middle-right | visible excavator or heavy machinery near central buildings,"significant change in debris layout, appearance of temporary structures, and increased vehicle density post-event","Post-event images show new debris piles, temporary shelters, and increased vehicle activity not present in the pre-event mosaic. The June 29 image shows similar features but is less clear due to possible cloud cover, making early confirmation uncertain. No response assets are visible in the pre-event image.",good,good,Cloud cover and resolution differences between June 29 and June 26 images limit confidence in detecting all response activities; some observed features may be ambiguous.,likely_response_signal,0.8,large organized gathering near the center of the image | temporary tents or structures set up in open areas,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
34,aoi12_r014_c030,10.60528926,-67.02442624,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large pile of debris and rubble on the right side of the image | temporary tents or shelters near the central sports court | organized material staging area with various supplies | small groups of people gathered in the middle-right area | visible damage to roads and infrastructure,"significant changes from pre-event to post-event images, including new debris piles, temporary structures, and signs of organized activity",The June 26 image shows a large amount of debris and temporary shelters not present in the pre-event image. The June 27 image confirms the persistence of these elements. The July 5 image is too low-resolution to confirm ongoing response activities.,good,good,The July 5 image is of insufficient quality to determine if response activities are still ongoing. There is some uncertainty due to differences in sensor resolution and potential cloud cover.,likely_response_signal,0.8,large organized gathering near the bottom left corner | possible temporary structures or tents near the bottom left corner,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
35,aoi12_r014_c084,10.60528926,-66.90315368,possible_response_signal,0.65,medium,2026-06-29T14:09:55Z,2026-06-26T15:10:00Z,rows of orange temporary tents or shelters on the left side of the image | organized material staging in dark-colored piles near the center-left,"presence of temporary shelters and organized material staging visible on June 29, not present in the June 26 image",The June 26 image shows a parking lot and recreational area with no response assets. The June 29 image shows multiple orange temporary tents and organized dark material piles consistent with emergency supply staging. The July 5 image is blank/invalid and cannot be used for confirmation. The change between June 26 and June 29 indicates a potential response activity onset.,good,good,"Image 3 (July 5) is completely white/blank, preventing verification of persistence. Sensor differences (Legion vs LG04) may affect visibility, but alignment quality is good. No pre-event reference is provided to confirm baseline presence.",likely_response_signal,0.8,orange temporary tents or structures | organized material staging areas | large organized gathering of vehicles,COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
36,aoi12_r015_c027,10.60749668,-67.03116361,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large white temporary tent or canopy structure near center-right | cluster of red and white vehicles in central area | smaller temporary structures or shelters near bottom-center | organized material staging or debris clearing in central area,emergence of temporary structures and vehicle clusters post-event,"A large white temporary tent or canopy appears in the June 26 image, not visible in the pre-event mosaic. A cluster of red and white vehicles is present in the June 26 image but not clearly discernible in the pre-event image. These features are consistent with emergency response activities. The July 5 image shows persistence of these elements. No clear evidence of response assets in the pre-event image supports their post-event emergence.",good,good,Different sensors and resolution between images limit definitive assessment; some features like temporary tents could be commercial or construction-related.,possible_response_signal,0.6,possible presence of organized material staging areas | potential temporary structures or tents,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
37,aoi12_r015_c028,10.60749668,-67.02891782,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large-scale rubble and debris in residential areas | organized material staging near damaged buildings | temporary white tent structure on open ground | road clearance activity indicated by cleared pathways,"significant destruction and debris accumulation post-event, with evidence of organized recovery efforts","Post-event images show widespread structural damage and rubble not present in the pre-event mosaic. A temporary white tent is visible in the June 26 and June 27 images, indicating a possible shelter or collection point. Material staging and cleared roads suggest ongoing response operations. The July 5 image shows persistence of these features but does not establish first arrival.",good,good,Cloud cover and sensor differences in the July 5 image limit confidence in persistent signal; alignment between sensors is good but not perfect.,possible_response_signal,0.6,large organized gathering near the open area | possible temporary structures or tents in the open area,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
38,aoi12_r015_c050,10.60749668,-66.97951048,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,temporary tents or shelters near the beach | organized material staging on the beach | mobile response vehicles along the coastal road | large gathering of people near the shoreline,visible changes in asset presence and organization between pre-event and post-event images,"The pre-event image shows no temporary structures or organized gatherings. The June 26 image reveals multiple temporary tents, material staging, and vehicle clusters along the coast, consistent with emergency response activities. These features are not visible in the pre-event reference but appear in the first post-event image. The June 27 image shows similar activity, confirming persistence. The July 5 image is obscured by cloud cover and cannot be used for confirmation.",good,good,"The July 5 image is completely obscured by cloud cover, preventing assessment of persistence. While the June 26 and 27 images show evidence of response, the sensor differences (Legion vs LG05) and potential misalignment introduce uncertainty in exact asset identification.",likely_response_signal,0.8,large organized gathering near the beach | temporary tents or structures near the beach,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
39,aoi12_r017_c112,10.61191147,-66.84027161,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large pile of debris and rubble near road in central area | temporary structures or tents near central buildings | organized staging of materials on cleared ground | multiple vehicles including trucks and possibly emergency vehicles along road,"significant change from pre-event to post-event images: presence of rubble, temporary structures, and organized activity not seen in pre-event mosaic","Pre-event image shows intact structures and no visible response assets. Post-event images (June 26) show extensive rubble, temporary shelters, and vehicle clusters consistent with emergency response. June 29 images confirm persistence. July 5 image is too low resolution for asset confirmation but does not contradict earlier findings.",good,good,Disagreement between two June 29 images due to sensor differences and cloud cover; some features are ambiguous. Response signals are present but not definitively identifiable as official response equipment.,likely_response_signal,0.8,multiple vehicles including what appear to be trucks and possibly other response-compatible vehicles near the central building complex | organized material staging areas adjacent to the central building complex,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
40,aoi12_r018_c110,10.61411884,-66.84476319,possible_response_signal,0.65,medium,2026-06-29T14:09:55Z,2025-11-03/2026-03-21/2026-04-07,temporary shelters or tents in open field | organized material staging areas | small vehicles including trucks and vans near temporary structures | large flat cleared area with multiple dark rectangular objects (possibly containers or equipment),visible changes in land use and presence of temporary structures between pre-event and post-event images,"In the pre-event image (2025-11-03), the site shows natural terrain with trees and unpaved ground. In the June 26 image, there are no visible signs of response activity. By June 29, two images show a large cleared area with what appear to be temporary shelters, organized material piles, and several vehicles consistent with emergency operations. The July 5 image shows continued presence of these elements, suggesting persistence. However, due to slight differences between the two June 29 images (sensor angle/resolution), confidence is not maximal. No permanent industrial equipment or vehicles are visible in the pre-event image, so the observed items are likely new.",good,good,Disagreement between the two June 29 images regarding exact object visibility and resolution limits; cannot definitively confirm first arrival within 72 hours of event.,likely_response_signal,0.8,organized material staging areas | temporary structures resembling tents,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
41,aoi12_r019_c103,10.61632619,-66.8604837,possible_response_signal,0.65,medium,2026-06-29T14:09:55Z,2026-06-26T15:10:00Z,large temporary white tents set up in the parking area near the curved road | organized rows of orange and blue portable seating or containers on the sports field | increased vehicle density along the main road and in the parking area | temporary structures and equipment near the large building with a white roof,"significant change between June 26 and June 29; new temporary structures, organized material staging, and increased vehicles appear by June 29.","The June 26 image shows no temporary structures or organized staging areas. The June 29 image clearly shows multiple white tents and organized material stacks (orange/blue units) not present before. The July 5 image is unusable due to cloud cover and cannot be used for confirmation. While some assets may be pre-existing, their arrangement and quantity suggest a response activity deployment.",good,good,"The July 5 image is completely obscured by clouds, preventing assessment of persistence. Alignment between sensors is good but slight differences in resolution and angle make fine-detail comparison challenging. Some observed items could be event-related logistics rather than emergency response.",likely_response_signal,0.9,organized material staging area with multiple tents | large number of vehicles consistent with response logistics,COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
42,aoi12_r019_c107,10.61632619,-66.85150055,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,Group of white and dark vehicles parked on a dirt field | Small orange excavator or loader near the vehicle group | Possible temporary structures or tents near the building complex,"Vehicle group appears in post-event images on June 26 and 29, absent in pre-event image.","A cluster of vehicles (likely response or logistics) is visible on a cleared dirt field in the June 26 image, which is not present in the pre-event mosaic. The same location in the June 29 images shows similar activity, with an excavator also visible. No such asset is seen in the pre-event reference. The July 5 image is too low-resolution to confirm persistence. While the vehicle grouping could be non-response related, its sudden appearance after the event and presence of heavy machinery suggest possible emergency response activity.",good,good,"The June 29 images show some discrepancy in coverage and cloud cover; the second June 29 image has a large black border, reducing confidence in direct comparison. The vehicle grouping may be ambiguous without ground truth.",possible_response_signal,0.6,organized material staging area near the open dirt lot | increased vehicle presence around the open dirt lot,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
43,aoi12_r020_c107,10.61853353,-66.85150055,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large debris field and collapsed structures in central area | muddy water or sediment flow through channel under bridge | temporary tent-like structures on green field | organized material staging near debris zone | vehicle traffic congestion on road above bridge,significant structural damage and debris accumulation post-event,"Post-event images show extensive destruction, including a large debris field and muddy flow under the bridge, consistent with earthquake impact. Temporary structures and organized material staging appear on the green field, suggesting emergency response activities. These features are absent in the pre-event mosaic. The June 29 images confirm persistence of damage and ongoing activity, but do not establish first arrival. The July 5 image shows no new visible assets.",good,good,Disagreement between June 29 LG04 scenes due to partial coverage and cloud; cannot definitively attribute all observed changes to response versus damage alone.,likely_response_signal,0.8,large organized gathering near the green court area | possible temporary structures or tents in the open area,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
44,aoi12_r020_c108,10.61853353,-66.84925476,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large debris field covering former building footprint | temporary material staging and scattered rubble across site | organized vehicle clusters along roadways near damaged area | small temporary structures or shelters in surrounding neighborhood,significant structural collapse from pre-event to post-event images,"Post-event images show widespread destruction of buildings, consistent with earthquake damage. On June 26, there are visible clusters of vehicles along roads adjacent to the collapsed zone, including some that resemble emergency or logistics convoys. No heavy machinery (excavators, cranes) is clearly visible. The debris field persists through June 29, but no clear response assets like tents, large medical units, or organized teams are evident. The July 5 image shows continued presence of debris and some activity, but no definitive response infrastructure. Comparison between June 29 images is inconclusive due to similar sensor and conditions, so no change is confirmed. Response signal is possible but not conclusive.",good,good,Limited resolution and cloud cover in some scenes prevent definitive identification of response assets; observed changes are primarily structural damage rather than active response operations.,likely_response_signal,0.8,"large organized gathering near the center of the grid cell | several large vehicles consistent with response assets (dump trucks, excavators) near the organized gathering",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
45,aoi12_r014_c038,10.60528926,-67.00645994,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small construction vehicle visible in upper left corner | temporary material staging area near road intersection,increase in activity at the site between pre-event and post-event images,"The image from June 26 shows a small construction vehicle and temporary material staging that were not present in the pre-event mosaic. These assets are consistent with early response or recovery activities. The July 5 image is obscured by cloud cover, preventing confirmation of persistence.",good,good,Cloud cover in the final image prevents assessment of persistence; alignment between sensors may introduce minor geometric uncertainty.,possible_response_signal,0.6,excavator/loader near the top left corner,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
46,aoi12_r015_c049,10.60749668,-66.98175627,possible_response_signal,0.6,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small vehicles and temporary structures near the highway on June 26 | increased vehicle activity and possible material staging along the road on June 27,increased activity and potential temporary setup near the highway in post-event images compared to pre-event,"In the pre-event image, the area is relatively static with no visible response assets. In the June 26 image, there are small vehicles and temporary structures near the highway, suggesting initial response activity. The June 27 image shows continued presence of vehicles and possible material staging. The July 5 image is too obscured for reliable assessment. No definitive emergency response equipment (e.g., excavators, ambulances) is visible.",good,good,The images differ in sensor and resolution; cloud cover and viewing angle affect visibility. The observed changes could be due to non-response activity such as regular traffic or construction. No clear emergency response equipment is visible.,likely_response_signal,0.8,large organized gathering near the center of the grid cell | temporary tents or structures visible near the gathering area,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
